Metric,V8,V7.1,Format
Buy Win Rate,0.7373737373737373,0.5384615384615384,%
Sell Win Rate,0.5,0.0,%
Combined Win Rate,0.6186868686868687,0.2692307692307692,%
Buy Expectancy,0.03399166649188658,-0.011473186314105991,abs
Sell Expectancy,0.001145707443356514,0.0,abs
Buy Coverage,0.21428571428571427,0.06190476190476191,%
Sell Coverage,0.09523809523809523,0.0,%
Total Coverage,0.30952380952380953,0.06190476190476191,%
RMSE,0.06832373575606136,0.06056439238604313,abs
MAE,0.053312841802835464,0.046693939715623856,abs
